# Time-averaged data for fix 2
# TimeStep c_KE c_PE c_PRESS c_TEMP
0 14996.2 0 0.0249937 2.5
1 14996.2 0 0.0249937 2.5
2 14996.2 0 0.0249937 2.5
3 14996.2 0 0.0249937 2.5
4 14996.2 0 0.0249937 2.5
5 14996.2 0 0.0249937 2.5
6 14996.2 0 0.0249937 2.5
7 14996.2 0 0.0249937 2.5
8 14996.2 0 0.0249937 2.5
9 14996.2 0 0.0249937 2.5
10 14996.2 0 0.0249937 2.5
11 14996.2 0 0.0249937 2.5
12 14996.2 0 0.0249937 2.5
13 14996.2 0 0.0249937 2.5
14 14996.2 0 0.0249937 2.5
15 14996.2 0 0.0249937 2.5
16 14996.2 0 0.0249937 2.5
17 14996.2 0 0.0249937 2.5
18 14996.2 0 0.0249937 2.5
19 14996.2 0 0.0249937 2.5
20 14996.2 0 0.0249937 2.5
21 14996.2 0 0.0249937 2.5
22 14996.2 0 0.0249937 2.5
23 14996.2 0 0.0249937 2.5
24 14996.2 0 0.0249937 2.5
25 14996.2 0 0.0249937 2.5
26 14996.2 0 0.0249937 2.5
27 14996.2 0 0.0249937 2.5
28 14996.2 0 0.0249937 2.5
29 14996.2 0 0.0249937 2.5
30 14996.2 0 0.0249937 2.5
31 14996.2 0 0.0249937 2.5
32 14996.2 0 0.0249937 2.5
33 14996.2 0 0.0249937 2.5
34 14996.2 0 0.0249937 2.5
35 14996.2 0 0.0249937 2.5
36 14996.2 0 0.0249937 2.5
37 14996.2 0 0.0249937 2.5
38 14996.2 0 0.0249937 2.5
39 14996.2 0 0.0249937 2.5
40 14996.2 0 0.0249937 2.5
41 14996.2 0 0.0249937 2.5
42 14996.2 0 0.0249937 2.5
43 14996.2 0 0.0249937 2.5
44 14996.2 0 0.0249937 2.5
45 14996.2 0 0.0249937 2.5
46 14996.2 0 0.0249937 2.5
47 14996.2 0 0.0249937 2.5
48 14996.2 0 0.0249937 2.5
49 14996.2 0 0.0249937 2.5
50 14996.2 0 0.0249937 2.5
51 14996.2 0 0.0249937 2.5
52 14996.2 0 0.0249937 2.5
53 14996.2 0 0.0249937 2.5
54 14996.2 0 0.0249937 2.5
55 14996.2 0 0.0249937 2.5
56 14996.2 0 0.0249937 2.5
57 14996.2 0 0.0249937 2.5
58 14996.2 0 0.0249937 2.5
59 14996.2 0 0.0249937 2.5
60 14996.2 0 0.0249937 2.5
61 14996.2 0 0.0249937 2.5
62 14996.2 0 0.0249937 2.5
63 14996.3 -0.0056682 0.0249937 2.5
64 14996.3 -0.0118271 0.0249937 2.5
65 14996.3 -0.0126945 0.0249937 2.5
66 14996.3 -0.019178 0.0249937 2.5
67 14996.3 -0.0205758 0.0249937 2.5
68 14996.3 -0.0334196 0.0249936 2.5
69 14996.3 -0.0523778 0.0249935 2.5
70 14996.3 -0.0671298 0.0249934 2.5
71 14996.3 -0.100515 0.0249933 2.5
72 14996.3 -0.124336 0.0249932 2.5
73 14996.3 -0.138373 0.0249931 2.50001
74 14996.3 -0.176282 0.0249929 2.50001
75 14996.3 -0.204891 0.0249928 2.50001
76 14996.3 -0.24154 0.0249927 2.50001
77 14996.3 -0.263568 0.0249926 2.50001
78 14996.4 -0.326485 0.0249923 2.50002
79 14996.4 -0.398903 0.024992 2.50002
80 14996.4 -0.470167 0.0249917 2.50003
81 14996.4 -0.528914 0.0249914 2.50003
82 14996.5 -0.597066 0.0249911 2.50004
83 14996.5 -0.670088 0.0249909 2.50004
84 14996.6 -0.758831 0.0249905 2.50005
85 14996.6 -0.881031 0.02499 2.50006
86 14996.7 -0.999366 0.0249895 2.50007
87 14996.7 -1.14219 0.0249889 2.50008
88 14996.8 -1.29926 0.0249882 2.50009
89 14996.9 -1.45532 0.0249876 2.50011
90 14997 -1.64828 0.0249868 2.50012
91 14997.1 -1.814 0.0249861 2.50014
92 14997.2 -1.99653 0.0249854 2.50016
